Date,Open,High,Low,Close,Volume
2017-07-28,149.89,150.23,149.19,149.5,17192770
2017-07-31,149.9,150.33,148.13,148.73,19690420
2017-08-01,149.1,150.22,148.41,150.05,33669020
2017-08-02,159.28,159.75,156.16,157.14,69726440
2017-08-03,157.05,157.21,155.02,155.57,26604140
2017-08-04,156.07,157.4,155.69,156.39,20514810
2017-08-07,157.06,158.92,156.6701,158.81,21827400
2017-08-08,158.6,161.83,158.27,160.08,36127490
2017-08-09,159.26,161.27,159.11,161.06,26060430
2017-08-10,159.9,160,154.63,155.32,39636190
2017-08-11,156.6,158.5728,156.07,157.48,26208970
2017-08-14,159.32,160.21,158.75,159.85,22074760
2017-08-15,160.66,162.195,160.14,161.6,29377630
2017-08-16,161.94,162.51,160.15,160.95,27607370
2017-08-17,160.52,160.71,157.84,157.86,27377960
2017-08-18,157.86,159.5,156.72,157.5,27391950
2017-08-21,157.5,157.89,155.1101,157.21,26330070
2017-08-22,158.23,160,158.02,159.78,21564890
2017-08-23,159.07,160.47,158.88,159.98,19376940
2017-08-24,160.43,160.74,158.55,159.27,19782170
2017-08-25,159.65,160.56,159.27,159.86,25184600
2017-08-28,160.14,162,159.93,161.47,25649890
2017-08-29,160.1,163.12,160,162.91,29451050
2017-08-30,163.8,163.89,162.61,163.35,27215770
2017-08-31,163.64,164.52,163.48,164,26729940
2017-09-01,164.8,164.94,163.63,164.05,16564340
2017-09-05,163.75,164.25,160.56,162.08,29491910
2017-09-06,162.71,162.99,160.52,161.91,21610300
2017-09-07,162.09,162.24,160.36,161.26,21905160
2017-09-08,160.86,161.15,158.53,158.63,28411740
2017-09-11,160.5,162.05,159.89,161.5,31506890
2017-09-12,162.61,163.96,158.77,160.86,71574560
2017-09-13,159.87,159.96,157.91,159.65,44866280
2017-09-14,158.99,159.4,158.09,158.28,23637310
2017-09-15,158.47,160.97,158,159.88,48846060
2017-09-18,160.11,160.5,157.995,158.67,28157630
2017-09-19,159.51,159.77,158.44,158.73,20565620
2017-09-20,157.9,158.26,153.83,156.07,52126240
2017-09-21,155.8,155.8,152.75,153.39,37350060
2017-09-22,152.02,152.27,150.56,151.89,46575410
2017-09-25,149.99,151.83,149.16,150.55,44366140
2017-09-26,151.78,153.92,151.69,153.14,35907770
2017-09-27,153.8,154.7189,153.54,154.23,25402270
2017-09-28,153.89,154.28,152.7,153.28,21983410
2017-09-29,153.21,154.13,152,154.12,26204670
2017-10-02,154.26,154.45,152.72,153.81,18631540
2017-10-03,154.01,155.09,153.91,154.48,16216800
2017-10-04,153.63,153.86,152.46,153.48,20088940
2017-10-05,154.18,155.44,154.05,155.39,21215870
2017-10-06,154.97,155.49,154.56,155.3,17223790
2017-10-09,155.81,156.73,155.485,155.84,16243080
2017-10-10,156.055,158,155.1,155.9,15603520
2017-10-11,155.97,156.98,155.75,156.55,16861450
2017-10-12,156.35,157.37,155.7299,156,16380570
2017-10-13,156.73,157.28,156.41,156.99,16367780
2017-10-16,157.9,160,157.65,159.88,24093300
2017-10-17,159.78,160.87,159.23,160.47,18969700
2017-10-18,160.42,160.71,159.6,159.76,16252850
2017-10-19,156.75,157.08,155.02,155.98,42357420
2017-10-20,156.61,157.75,155.96,156.25,23907540
2017-10-23,156.89,157.69,155.5,156.17,21888930
2017-10-24,156.29,157.42,156.2,157.1,17633730
2017-10-25,156.91,157.55,155.27,156.41,21175670
2017-10-26,157.23,157.8295,156.78,157.41,16916650
2017-10-27,159.29,163.6,158.7,163.05,44387770
2017-10-30,163.89,168.07,163.72,166.72,44651420
2017-10-31,167.9,169.6499,166.94,169.04,35779520
2017-11-01,169.87,169.94,165.61,166.89,33482970
2017-11-02,167.64,168.5,165.28,168.11,39668100
2017-11-03,174,174.26,171.12,172.5,59332210
2017-11-06,172.365,174.99,171.72,174.25,34770480
2017-11-07,173.91,175.25,173.6,174.81,24332120
2017-11-08,174.66,176.24,174.33,176.24,24358920
2017-11-09,175.11,176.095,173.14,175.88,29422610
2017-11-10,175.11,175.38,174.27,174.67,25129510
2017-11-13,173.5,174.5,173.4,173.97,16956290
2017-11-14,173.04,173.48,171.18,171.34,24683350
2017-11-15,169.97,170.3197,168.38,169.08,28998220
2017-11-16,171.18,171.87,170.3,171.1,23598650
2017-11-17,171.04,171.39,169.64,170.15,21884010
2017-11-20,170.29,170.56,169.56,169.98,16041550
2017-11-21,170.78,173.7,170.78,173.14,25047130
2017-11-22,173.36,175,173.05,174.96,25558680
2017-11-24,175.1,175.5,174.6459,174.97,14026670
2017-11-27,175.05,175.08,173.34,174.09,20591090
2017-11-28,174.3,174.87,171.86,173.07,26387240
2017-11-29,172.63,172.92,167.16,169.48,41459120
2017-11-30,170.43,172.14,168.44,171.85,41484540
2017-12-01,169.95,171.67,168.5,171.05,39735110
2017-12-04,172.48,172.62,169.63,169.8,32512580
2017-12-05,169.06,171.52,168.4,169.64,27315530
2017-12-06,167.5,170.2047,166.46,169.01,28397810
2017-12-07,169.03,170.44,168.91,169.32,25656110
2017-12-08,170.49,171,168.82,169.37,23285760
2017-12-11,169.2,172.89,168.79,172.67,34260890
2017-12-12,172.15,172.39,171.461,171.7,19088170
2017-12-13,172.5,173.54,172,172.27,23402510
2017-12-14,172.4,173.13,171.65,172.22,20442740
2017-12-15,173.63,174.17,172.46,173.97,40122100
2017-12-18,174.88,177.2,174.86,176.42,29385650
2017-12-19,175.03,175.39,174.09,174.54,27393660
2017-12-20,174.87,175.42,173.25,174.35,23451420
2017-12-21,174.17,176.02,174.1,175.01,20848660
2017-12-22,174.68,175.424,174.5,175.01,16339690
2017-12-26,170.8,171.47,169.679,170.57,33113340
2017-12-27,170.1,170.78,169.71,170.6,21477380
2017-12-28,171,171.85,170.48,171.08,16412270
2017-12-29,170.52,170.59,169.22,169.23,25938760
2018-01-02,170.16,172.3,169.26,172.26,25400540
2018-01-03,172.53,174.55,171.96,172.23,29461040
2018-01-04,172.54,173.47,172.08,173.03,22342650
2018-01-05,173.44,175.37,173.05,175,23589930
2018-01-08,174.35,175.61,173.93,174.35,20523870
2018-01-09,174.55,175.06,173.41,174.33,21532200
2018-01-10,173.16,174.3,173,174.29,23751690
2018-01-11,174.59,175.4886,174.49,175.28,18653380
2018-01-12,176.18,177.36,175.65,177.09,25302200
2018-01-16,177.9,179.39,176.14,176.19,29512410
2018-01-17,176.15,179.25,175.07,179.1,34260230
2018-01-18,179.37,180.1,178.25,179.26,31087330
2018-01-19,178.61,179.58,177.41,178.46,31306390
2018-01-22,177.3,177.78,176.6016,177,27052000
2018-01-23,177.3,179.44,176.82,177.04,32395870
2018-01-24,177.25,177.3,173.2,174.22,51368540
2018-01-25,174.505,174.95,170.53,171.11,41438280
2018-01-26,172,172,170.06,171.51,39075250
2018-01-29,170.16,170.16,167.07,167.96,50565420
2018-01-30,165.525,167.37,164.7,166.97,45635470
2018-01-31,166.87,168.4417,166.5,167.43,32234520
2018-02-01,167.165,168.62,166.76,167.78,44453230
2018-02-02,166,166.8,160.1,160.5,85957050
2018-02-05,159.1,163.88,156,156.49,72215320
2018-02-06,154.83,163.72,154,163.03,68171940
2018-02-07,163.085,163.4,159.0685,159.54,51467440
2018-02-08,160.29,161,155.03,155.15,54145930
2018-02-09,157.07,157.89,150.24,156.41,70583530
2018-02-12,158.5,163.89,157.51,162.71,60774900
2018-02-13,161.95,164.75,161.65,164.34,32483310
2018-02-14,163.045,167.54,162.88,167.37,40382890
2018-02-15,169.79,173.09,169,172.99,50908540
2018-02-16,172.36,174.82,171.77,172.43,40113790
